text,true_label,predicted_label
"Domestically, the administration favored reducing government programs and introduced the largest across-the-board tax cuts in American history.Victory in the Cold War led to a unipolar world with the U.S. as the world's sole superpower.Furthermore, says Henry, the consensus viewpoint agrees that he revived faith in the presidency and American self-confidence, and contributed critically to ending the Cold War .",Human,AI
"Heroin (diacetylmorphine or morphine diacetate ( INN )), also known as diamorphine ( BAN ), and colloquially as H, smack, horse, brown, black, tar, and other names, is an opioid analgesic synthesized by C.R. Alder Wright in 1874 by adding two acetyl groups to the molecule morphine , found in the opium poppy .",Human,AI
"Serial ATA (SATA) is a computer bus interface that connects host bus adapters to mass storage devices such as hard disk drives and optical drives .Serial ATA replaces the older AT Attachment standard (ATA; later referred to as Parallel ATA or PATA), offering several advantages over the older interface: reduced cable size and cost (seven conductors instead of 40), native hot swapping , faster data transfer through higher signalling rates, and more efficient transfer through an (optional) I/O queuing protocol.",Human,AI
"Sue Lyon was 14 years old when she starred as Dolores ""Lolita"" Haze in the film ""Lolita"" (1962).",AI,Human
"Section 8 of the Housing Act of 1937 (), often simply known as Section 8, as repeatedly amended, authorizes the payment of rental housing assistance to private landlords on behalf of approximately 3.1 million low-income households.It operates through several programs, the largest of which, the Housing Choice Voucher program, pays a large portion of the rents and utilities of about 2.1 million households.",Human,AI
"One is ""US Government Standard Bathroom Malodor""; a mixture of eight chemicals with a stench resembling human feces, only much stronger, designed to test the efficacy of deodorizers and air fresheners .Another one, "" Who me? "", is a mixture of five sulfur-containing chemicals and smells like rotting food and carcasses.",Human,AI
"Other broad distinctions include those between positive economics (describing ""what is"") and normative economics (advocating ""what ought to be""); between economic theory and applied economics ; between rational and behavioral economics ; and between mainstream economics (more ""orthodox"" and dealing with the ""rationality-individualism-equilibrium nexus"") and heterodox economics (more ""radical"" and dealing with the ""institutions-history-social structure nexus"").Economic analysis may be applied throughout society, as in business , finance , health care , and government, but also to such diverse subjects as crime, education , the family , law , politics , religion , social institutions , war, and science .At the turn of the 21st century, the expanding domain of economics in the social sciences has been described as economic imperialism .",Human,AI
"The current world record for women's high jump is 2.09 meters (6 feet 10.25 inches), set by Croatian athlete Blanka Vlašić on August 30, 2009 in Zagreb, Croatia. Vlašić is a former Olympic medalist and multiple-time world champion in the high jump.",AI,Human
"Kanien'kehá:ka (""People of the Place of Flint"") are an Iroquoian -speaking indigenous people of North America originally from the Mohawk Valley in upstate New York .Their current settlements include areas around Lake Ontario and the St Lawrence River in Canada .Their traditional homeland stretched southward of the Mohawk River , eastward to the Green Mountains of Vermont , westward to the border with the Oneida Nation 's traditional homeland territory, and northward to the St Lawrence River.",Human,AI
"Black pepper (Piper nigrum) is a flowering vine in the family Piperaceae , cultivated for its fruit , which is usually dried and used as a spice and seasoning .Black pepper is native to south India , and is extensively cultivated there and elsewhere in tropical regions.Currently Vietnam is the world's largest producer and exporter of pepper, producing 34% of the world's Piper nigrum crop as of 2008.",Human,AI
Milwaukee is a city located in the state of Wisconsin in the United States.,AI,Human
"Written by John Lennon and Paul McCartney , and recorded in October 1963, it was the first Beatles record to be made using four-track equipment.With advance orders exceeding one million copies in the United Kingdom, ""I Want to Hold Your Hand"" would ordinarily have gone straight to the top of the British record charts on its day of release (29 November 1963) had it not been blocked by the group's first million seller "" She Loves You "", the Beatles' previous UK single, which was having a resurgent spell in the top position following intense media coverage of the group.",Human,AI
"Thomas Jefferson became President of the United States on March 4, 1801. He was the third President of the United States, serving two terms from 1801 to 1809. He was preceded by John Adams and succeeded by James Madison.",AI,Human
"Andy Whitfield was a Welsh actor. He was born in Ammanford, Carmarthenshire, Wales on October 17, 1971. Whitfield was best known for his role as Spartacus in the Starz television series ""Spartacus: Blood and Sand"" and its prequel, ""Spartacus: Gods of the Arena.""",AI,Human
Mr. Bojangles is the title of a song originally written and recorded by American country music artist Jerry Jeff Walker for his 1968 album of the same title.,Human,AI
"The President of the United States of America (POTUS) is the head of state and head of government of the United States .The president leads the executive branch of the federal government and is the commander-in-chief of the United States Armed Forces .The president is further empowered to grant federal pardons and reprieves , and to convene and adjourn either or both houses of Congress under extraordinary circumstances.",Human,AI
"The stadium seats 85,000, making it the third largest stadium in the NFL by seating capacity .The maximum capacity of the stadium, including standing room, is 105,000.",Human,AI
"Jackie Keith Whitley (July 1, 1954Stambler, Irwin, and Grelun Landon (2000). - Country Music: The Encyclopedia. - New York: St. Martin's Press. - p.533. - ISBN 978-0-312-26487-1.—Carlin, Richard (2003). - Country Music: A Biographical Dictionary. - New York: Routledge - p.427. - ISBN 978-0-415-93802-0.—Larkin, Colin (1995). - The Guinness Encyclopedia of Popular Music. - New York: Stockton Press - P.4462. - ISBN 978-0-85112-662-3.—Stanton, Scott (2003). - The Tombstone Tourist: Musicians. - New York: Pocket Books. - p.395. - ISBN 978-0-7434-6330-0.—Hicks, Jack. - ""Singer Keith Whitley's Memory Alive Through Songs, Love in Home Town"". - The Kentucky Post . - September 25, 1991.—""Country Music Star Keith Whitley Dead at 33"". - Lexington Herald-Leader . - May 10, 1989.——Hurst, Jack. - ""Whitley's Last Days"". - Chicago Tribune . - May 14, 1989.—""Alcohol Kills Country Singer Keith Whitley"". - United Press International . - (c/o The San Francisco Chronicle ). - May 10, 1989. — May 9, 1989), known professionally as Keith Whitley, was an American country music singer.",Human,AI
"The standard gold bar held as gold reserves by central banks and traded among bullion dealers is the 400-troy-ounce (12.4 kg or 438.9 ounces) Good Delivery gold bar.The kilobar, which is to say 1000 grams in mass, is the bar that is more manageable and is used extensively for trading and investment.",Human,AI
"John F. Kennedy was President of the United States from 1961 to 1963. He was inaugurated on January 20, 1961, and was assassinated on November 22, 1963.",AI,Human
"Ethnicity or ethnic group is a socially defined category based on common culture or nationality .Ethnicity can, but does not have to, include common ancestry , appearance , cuisine , dressing style, heritage , history , language or dialect , religion , symbols , traditions , or other cultural factor.Ethnic identity is constantly reinforced through common characteristics which set the group apart from other groups.",Human,AI
"Martin Luther King Jr. was assassinated on April 4, 1968. He was shot and killed while standing on the balcony of his hotel room in Memphis, Tennessee, where he had gone to lead a protest march.",AI,Human
"The kanji for language is 言語 (げんご). It is composed of two characters: 言, which means ""to speak,"" and 語, which means ""word"" or ""language."" Together, these characters form the word 言語, which means ""language"" in Japanese.",AI,Human
